year,group,theme,placement,song_title,song_artist,kaggle_track_name,kaggle_artist_name,kaggle_genre,kaggle_danceability,kaggle_energy,kaggle_valence,kaggle_tempo,kaggle_acousticness,kaggle_loudness,kaggle_popularity,kaggle_year,match_score
2023,Kappa Chi Alpha,,Participated,Chim-Chim-er-Ree (East Wind),Saving Mr. Banks,,,,,,,,,,,,
2023,Kappa Chi Alpha,,Participated,Takin' Care of Business,Bachman-Turner Overdrive,Takin' Care Of Business,Bachman-Turner Overdrive,blues,0.728,0.877,0.961,130.182,0.109,-7.888,13.0,2013.0,100.0
2023,Kappa Chi Alpha,,Participated,I Ain't Worried,One Republic,I Ain't Worried,OneRepublic,piano,0.704,0.797,0.825,139.994,0.0826,-5.927,91.0,2022.0,98.3
2023,Kappa Chi Alpha,,Participated,I Want You Back,The Jackson 5,I Want You Back,The Plimsouls,power-pop,0.488,0.907,0.843,123.669,0.0371,-7.624,3.0,2010.0,77.4
2023,Kappa Chi Alpha,,Participated,One Way or Another,Blondie,One Way Or Another,Blondie,power-pop,0.442,0.921,0.855,162.267,0.0532,-5.086,12.0,2019.0,100.0
2023,Kappa Chi Alpha,,Participated,Spoonful of Sugar,Mary Poppins Musical Cover,A Spoonful of Sugar,Michael Hanley,piano,0.593,0.144,0.96,165.01,0.99,-25.344,30.0,2020.0,70.7
2023,Kappa Chi Alpha,,Participated,Any Way You Want It,Journey,Any Way You Want It,Journey,hard-rock,0.519,0.934,0.586,138.162,0.000312,-7.137,59.0,2001.0,100.0
2023,Kappa Chi Alpha,,Participated,Supercalifragilistic,The Hit rew,Supercalifragilistico,Leda Moreno,rock-n-roll,0.666,0.504,0.904,150.48,0.203,-13.766,9.0,2014.0,75.4
2023,Kappa Kappa Gamma,Kappa HQ,Pigskin,Welcome to the Working Week,Elvis Costello,The Whirlwind,Elvis Costello,power-pop,0.41,0.172,0.143,126.047,0.837,-12.857,10.0,2020.0,70.3
2023,Kappa Kappa Gamma,Kappa HQ,Pigskin,Manic Monday,The Bangles,Manic Monday,The Bangles,disco,0.715,0.759,0.875,121.48,0.337,-5.125,36.0,2004.0,100.0
2023,Kappa Kappa Gamma,Kappa HQ,Pigskin,A Hard Day's Night,The Beatles,A Hard Day's Night - Remastered 2015,The Beatles,psych-rock,0.546,0.818,0.756,138.561,0.0487,-4.89,55.0,2000.0,78.0
2023,Kappa Kappa Gamma,Kappa HQ,Pigskin,Livin' on a Prayer,Bon Jovi,Livin' On A Prayer,Bon Jovi,metal,0.528,0.889,0.817,122.495,0.0657,-3.334,45.0,2010.0,100.0
2023,Kappa Kappa Gamma,Kappa HQ,Pigskin,She Works for the Money,Donna Summer,She Works Hard For The Money,Donna Summer,disco,0.747,0.836,0.988,136.447,0.00627,-7.821,31.0,2023.0,93.8
2023,Kappa Kappa Gamma,Kappa HQ,Pigskin,Walkin' on Sunshine,Katrina & the Waves,Walking on Sunshine - 2004 Version,Katrina & The Waves,pop,0.595,0.943,0.961,109.014,0.00111,-7.255,53.0,2004.0,82.5
2023,Kappa Omega Tau,Against All Oz,Pigskin,Feeling Good,Michael Buble,Feeling Good,Michael Bublé,jazz,0.378,0.482,0.428,106.705,0.355,-6.536,35.0,2019.0,96.4
2023,Kappa Omega Tau,Against All Oz,Pigskin,"Bright Lights, Bigger City",Cee Lo Green,Bright Lights Bigger City,CeeLo Green,hip-hop,0.632,0.749,0.702,108.994,0.000282,-5.125,46.0,2010.0,92.5
2023,Kappa Omega Tau,Against All Oz,Pigskin,Fortunate Son,Creedence Clearwater Revival,Lodi,Creedence Clearwater Revival,country,0.737,0.773,0.815,126.869,0.13,-5.68,20.0,2009.0,81.0
2023,Kappa Omega Tau,Against All Oz,Pigskin,Do I Wanna Know?,Arctic Monkeys,Do I Wanna Know?,Arctic Monkeys,garage,0.548,0.532,0.405,85.03,0.186,-7.596,86.0,2013.0,100.0
2023,Kappa Omega Tau,Against All Oz,Pigskin,Glory,John Legend (From Motion Picture Selma),Glory (From the Motion Picture Selma),Common,hip-hop,0.567,0.587,0.572,83.046,0.867,-5.626,49.0,2014.0,75.3
2023,Kappa Omega Tau,Against All Oz,Pigskin,Cold as Ice,Foreigner,Cold as Ice,Foreigner,hard-rock,0.562,0.609,0.512,130.753,0.0264,-7.063,16.0,2014.0,100.0
2023,Kappa Omega Tau,Against All Oz,Pigskin,Freedom 90',George Michael,Freeek! '04,George Michael,dance,0.644,0.819,0.904,87.897,0.00759,-7.225,40.0,2004.0,75.0
2023,Kappa Sigma,,Participated,Suit & Jacket,Judah & the Lion,Suit and Jacket,Judah & the Lion,folk,0.451,0.58,0.111,164.163,0.223,-8.616,56.0,2016.0,90.9
2023,Kappa Sigma,,Participated,Born to Run,American Authors,I'm Born To Run,American Authors,indie-pop,0.62,0.93,0.675,126.041,0.0662,-5.615,63.0,2016.0,93.8
2023,Kappa Sigma,,Participated,Mountain Sound,Monsters & Men,Mountain Sound,Of Monsters and Men,folk,0.379,0.879,0.37,102.021,0.0421,-4.336,61.0,2012.0,86.6
2023,Kappa Sigma,,Participated,Spirit,Judah & the Lion,Spirit,Judah & the Lion,folk,0.62,0.368,0.148,132.956,0.545,-7.587,51.0,2021.0,100.0
2023,Kappa Sigma,,Participated,Bring it on Home,American Authors,Bring It On Home,American Authors,indie-pop,0.652,0.859,0.734,99.04,0.0302,-5.393,46.0,2019.0,100.0
2023,Phi Gamma Delta,,Participated,Start Me Up,The Rolling Stones,Gimme Shelter,The Rolling Stones,rock,0.634,0.63,0.489,118.642,0.447,-8.277,1.0,2023.0,81.8
2023,Phi Gamma Delta,,Participated,Blitzkreig Bop,The Ramones,Blitzkrieg Bop,Ramones,punk,0.547,0.733,0.962,176.198,0.0103,-6.558,53.0,2017.0,88.5
2023,Phi Gamma Delta,,Participated,Hey Ya!,The OutKast,Hey Ya!,Outkast,hip-hop,0.724,0.955,0.966,79.508,0.0666,-3.9,48.0,2015.0,89.5
2023,Phi Gamma Delta,,Participated,Footloose,Kenny Loggins,Footloose,Kenny Loggins,pop,0.603,0.807,0.659,173.911,0.0438,-8.571,41.0,2001.0,100.0
2023,Phi Gamma Delta,,Participated,We are Young,Fun.,We Are Young,fun.,rock,0.379,0.637,0.757,184.087,0.0197,-5.574,0.0,2023.0,100.0
2023,Phi Kappa Chi,,Participated,Cold,Chris Stapleton,Cold,Chris Stapleton,country,0.555,0.505,0.293,117.481,0.0519,-7.334,63.0,2020.0,100.0
2023,Phi Kappa Chi,,Participated,Trouble,Elvis Presley,Trouble,Elvis Presley,rock-n-roll,0.424,0.385,0.866,86.005,0.87,-10.855,14.0,2018.0,100.0
2023,Phi Kappa Chi,,Participated,Something's Got to Give,Labrinth,Something's Got To Give,Labrinth,indie-pop,0.514,0.757,0.588,109.151,0.027,-5.718,46.0,2019.0,100.0
2023,Phi Kappa Chi,,Participated,All Things New,Big Daddy Weave,All Things New,Big Daddy Weave,alt-rock,0.475,0.328,0.188,77.149,0.683,-7.667,40.0,2019.0,100.0
2023,Phi Kappa Chi,,Participated,Power of Love,Ben Rector,The Power of Love,Ben Rector,acoustic,0.771,0.471,0.339,118.982,0.0137,-8.988,20.0,2014.0,92.9
2023,Pi Beta Phi,Be My Girl,2nd,Take Me Out,Franz Ferdinand,Take Me Out,Franz Ferdinand,alt-rock,0.239,0.784,0.471,104.457,0.000783,-3.611,38.0,2022.0,100.0
2023,Pi Beta Phi,Be My Girl,2nd,Are You Gonna Be My Girl?,Jet,Are You Gonna Be My Girl,Jet,garage,0.613,0.953,0.537,105.046,0.00148,-3.435,22.0,2016.0,98.4
2023,Pi Beta Phi,Be My Girl,2nd,Ladies's Choice,From Hairspray the Musical,,,,,,,,,,,,
2023,Pi Beta Phi,Be My Girl,2nd,Material Girl,Madonna,Material Girl,Madonna,dance,0.742,0.883,0.978,136.506,0.333,-3.419,74.0,2009.0,100.0
2023,Pi Beta Phi,Be My Girl,2nd,Rumor Has It,Adele,Rumour Has It,Adele,pop,0.612,0.749,0.574,120.052,0.615,-5.014,66.0,2011.0,97.6
2023,Pi Beta Phi,Be My Girl,2nd,Someone Like You,Adele,Someone Like You,Adele,pop,0.556,0.319,0.294,135.187,0.893,-8.251,78.0,2011.0,100.0
2023,Pi Beta Phi,Be My Girl,2nd,River Deep Mountain High,Tina Turner,River Deep - Mountain High,Ike & Tina Turner,funk,0.621,0.972,0.866,155.113,0.472,-3.791,53.0,2008.0,90.5
2023,Sigma Alpha Epsilon,The Night Shift,Participated,Nigh Shift,Jon Pardi,Night Shift,Jon Pardi,country,0.63,0.754,0.73,95.999,0.0963,-3.564,73.0,2016.0,97.8
2023,Sigma Alpha Epsilon,The Night Shift,Participated,Killer Queen,Queen,Que Lloren,Ivy Queen,hip-hop,0.819,0.707,0.777,92.003,0.242,-7.449,41.0,2007.0,76.2
2023,Sigma Alpha Epsilon,The Night Shift,Participated,Crocodile Rock,Elton John,Crocodile Rock,Elton John,piano,0.624,0.769,0.971,150.23,0.0439,-7.778,46.0,2022.0,100.0
2023,Sigma Alpha Epsilon,The Night Shift,Participated,Twist and Shout,The Beatles,Twist And Shout,The Shirelles,blues,0.653,0.561,0.814,130.668,0.587,-10.073,22.0,2005.0,86.7
2023,Sigma Alpha Epsilon,The Night Shift,Participated,Hound Dog,Elvis Presley,Hound Dog,Elvis Presley,rock-n-roll,0.478,0.75,0.944,87.821,0.759,-8.511,36.0,2018.0,100.0
2023,Sigma Alpha Epsilon,The Night Shift,Participated,From Now On,The Greatest Showman,The Greatest Show on Earth,Ten,hard-rock,0.376,0.531,0.313,158.913,0.0112,-10.654,11.0,2023.0,75.8
2023,Sigma Chi,"The Good, The Bad, and The...",Pigskin,Great Balls of Fire,Jerry Lee Lewis,Great Balls of Fire,Jerry Lee Lewis,piano,0.442,0.87,0.928,160.063,0.381,-3.977,18.0,2012.0,100.0
2023,Sigma Chi,"The Good, The Bad, and The...",Pigskin,Flashing Lights,Kanye West,Flashing Lights,Subjoi,disco,0.721,0.868,0.411,122.996,0.424,-9.582,52.0,2017.0,73.1
2023,Sigma Chi,"The Good, The Bad, and The...",Pigskin,Boot Scootin' Bougie,Brooks and Dunn,Boot Scootin' Boogie,Brooks & Dunn,country,0.656,0.817,0.862,130.448,0.22,-4.296,41.0,2012.0,78.4
2023,Sigma Chi,"The Good, The Bad, and The...",Pigskin,We're Not Gonna Take It,Twisted Sister,We're Not Gonna Take It,Twisted Sister,hard-rock,0.502,0.925,0.923,149.188,0.0129,-6.298,0.0,2023.0,100.0
2023,Sigma Chi,"The Good, The Bad, and The...",Pigskin,Boulevard of Broken Dreams,Green Day,Boulevard of Broken Dreams,Green Day,punk,0.496,0.682,0.474,167.06,0.00552,-4.095,75.0,2017.0,100.0
2023,Sigma Chi,"The Good, The Bad, and The...",Pigskin,Total Eclipse of the Heart,Bonnie Tyler,Total Eclipse of the Heart,Bonnie Tyler,disco,0.431,0.723,0.19,130.141,0.145,-5.887,27.0,2014.0,100.0
2023,Sigma Chi,"The Good, The Bad, and The...",Pigskin,We Belong,Pat Benatar,We Belong,RAC,alt-rock,0.437,0.326,0.187,99.978,0.865,-8.846,30.0,2014.0,73.7
2023,Sing Alliance,Some Bunny's In Trouble,Pigskin,Heigh Ho,Bunny Berigan/ Dwarf's Marching Song from Disney's Snow White,,,,,,,,,,,,
2023,Sing Alliance,Some Bunny's In Trouble,Pigskin,Dig a Little Deeper,Sierra Nelson,deeper,Son Little,funk,0.62,0.344,0.278,119.998,0.665,-9.679,36.0,2022.0,70.4
2023,Sing Alliance,Some Bunny's In Trouble,Pigskin,Sweet Dreams,Eurthymics,Sweet Dreams,Prithvi,indian,0.575,0.327,0.0388,83.984,0.935,-18.395,15.0,2022.0,80.9
2023,Sing Alliance,Some Bunny's In Trouble,Pigskin,Beat It,Michael Jackson,Beat It,Michael Jackson,pop,0.776,0.867,0.918,138.827,0.0495,-3.704,77.0,2008.0,100.0
2023,Sing Alliance,Some Bunny's In Trouble,Pigskin,I Did Something Bad,Taylor Swift,I Did Something Bad,Taylor Swift,pop,0.696,0.602,0.305,82.989,0.0679,-6.156,74.0,2017.0,100.0
2023,Sing Alliance,Some Bunny's In Trouble,Pigskin,Why Can't We Be Friends?,War,Why Can't We Be Friends,Scary Pockets,funk,0.595,0.607,0.645,76.11,0.226,-6.474,28.0,2023.0,81.2
2023,Sing Alliance,Some Bunny's In Trouble,Pigskin,We Found Love,Rihanna & Calvin Harris,We Found Love,Rihanna,pop,0.734,0.766,0.6,127.986,0.025,-4.485,65.0,2012.0,74.2
2023,Zeta Tau Alpha,Experiment Z,3rd,Workin' Day & Night,Michael Jackson,Rockin' Robin,Michael Jackson,soul,0.625,0.767,0.964,173.048,0.24,-6.786,14.0,2000.0,73.5
2023,Zeta Tau Alpha,Experiment Z,3rd,Monster Mash,"Bobby ""Boris"" Pickett",,,,,,,,,,,,
2023,Zeta Tau Alpha,Experiment Z,3rd,Another One Bites the Dust,Queen,Another One Bites The Dust,Saxity,deep-house,0.754,0.811,0.789,121.037,0.00128,-5.113,35.0,2018.0,84.1
2023,Zeta Tau Alpha,Experiment Z,3rd,Don't Stop Believin',Journey,Don't Stop Believin',Journey,hard-rock,0.495,0.779,0.462,119.197,0.253,-8.106,29.0,2014.0,100.0
2023,Zeta Tau Alpha,Experiment Z,3rd,Come Alive,From the Greatest Showman,The Rest of My Life,Sloan,indie-pop,0.59,0.722,0.67,116.035,0.00052,-5.783,41.0,2003.0,70.8
2023,Zeta Tau Alpha,Experiment Z,3rd,Thriller,Michael Jackson,Thriller,Michael Jackson,pop,0.764,0.887,0.72,118.427,0.0816,-3.726,65.0,2017.0,100.0
2023,Zeta Tau Alpha,Experiment Z,3rd,I'm In Love with a Monster,Fifth Harmony,I'm In Love With a Monster,Fifth Harmony,pop,0.666,0.812,0.868,145.059,0.0597,-4.07,64.0,2015.0,100.0
2023,Zeta Tau Alpha,Experiment Z,3rd,I'm So Excited,The Pointer Sisters,I'm So Excited,The Pointer Sisters,disco,0.692,0.8,0.885,91.246,0.0983,-7.065,14.0,2017.0,100.0
2024,Alpha Chi Omega,The Show Must Go On,Pigskin,The Winner Takes It All,ABBA,The Winner Takes It All,ABBA,swedish,0.456,0.563,0.528,126.802,0.373,-13.741,27.0,2012.0,100.0
2024,Alpha Chi Omega,The Show Must Go On,Pigskin,Baby I'm a Star,Prince,"I'm a Raver, Baby",Scooter,techno,0.478,0.957,0.336,150.058,0.00901,-4.658,20.0,2012.0,74.5
2024,Alpha Chi Omega,The Show Must Go On,Pigskin,Man I Feel like a Woman,Shania Twian,Man! I Feel Like A Woman!,Shania Twain,country,0.654,0.889,0.73,125.018,0.64,-3.058,0.0,2023.0,94.9
2024,Alpha Chi Omega,The Show Must Go On,Pigskin,SOS,Rihanna,SOS,Rihanna,pop,0.677,0.671,0.527,137.046,0.004,-4.905,77.0,2006.0,100.0
2024,Alpha Chi Omega,The Show Must Go On,Pigskin,Girls Just Want To Have Fun,Miley Cyrus / Cyndi Lauper,Girls Just Want to Have Fun,Cyndi Lauper,pop,0.707,0.788,0.746,120.465,0.214,-5.269,65.0,2014.0,85.7
2024,Alpha Chi Omega,The Show Must Go On,Pigskin,I Want it All,High School Musical 3 Cast,I Want It All,High School Musical Cast,dance,0.791,0.813,0.913,142.876,0.179,-3.444,55.0,2008.0,97.6
2024,Alpha Delta Pi,,Participated,I Wanna Be A Lifeguard,Blotto,I Wanna Be A Girl,The Pinheads,garage,0.208,0.914,0.518,205.668,9.17e-05,-8.318,23.0,2015.0,66.7
2024,Alpha Delta Pi,,Participated,Surfin USA,The Beach Boys,Surfin' U.S.A.,The Beach Boys,pop,0.549,0.805,0.969,160.753,0.398,-7.436,55.0,2012.0,93.1
2024,Alpha Delta Pi,,Participated,Shark attack,John Williams,At Rest,John Williams,guitar,0.519,0.161,0.15,104.678,0.992,-19.77,3.0,2016.0,78.4
2024,Alpha Delta Pi,,Participated,Shark attack,Surf Punks,Shark Attack,Wolf,heavy-metal,0.509,0.992,0.19,116.004,2.29e-05,-4.488,18.0,2014.0,72.7
2024,Alpha Delta Pi,,Participated,I’m always here,Jimi Jamison,I'm Always Here,Jimi Jamison,hard-rock,0.656,0.821,0.448,120.058,0.00289,-6.452,18.0,2003.0,96.7
2024,Alpha Delta Pi,,Participated,Sorry,Justin Bieber,Sorry,Justin Bieber,pop,0.654,0.76,0.41,99.945,0.0797,-3.669,80.0,2015.0,100.0
2024,Alpha Delta Pi,,Participated,All for one,High School Musical,All For One,High School Musical Cast,dance,0.657,0.985,0.776,150.038,0.119,-3.22,52.0,2007.0,93.0
2024,Alpha Delta Pi,,Participated,Surf Crazy,Spencer Lee (Teen Beach Movie),,,,,,,,,,,,
2024,Alpha Phi,Troop 1872: Sweet as Can Phi,Participated,Better When I'm Dancin,Meghan Trainor,Better When I'm Dancin',Meghan Trainor,pop,0.756,0.789,0.873,127.987,0.53,-7.002,74.0,2015.0,98.7
2024,Alpha Phi,Troop 1872: Sweet as Can Phi,Participated,Wouldn't It Be Nice,The Beach Boys,Wouldn't It Be Nice,The Beach Boys,pop,0.385,0.657,0.672,124.895,0.724,-6.975,58.0,2012.0,100.0
2024,Alpha Phi,Troop 1872: Sweet as Can Phi,Participated,Pink,Lizzo,Phone,Lizzo,dance,0.914,0.526,0.819,140.005,0.0868,-3.698,51.0,2016.0,80.0
2024,Alpha Phi,Troop 1872: Sweet as Can Phi,Participated,Push it to the Limit,Corbin Bleu / High School Musical,Push It to the Limit,Corbin Bleu,pop,0.815,0.906,0.783,125.974,0.0116,-3.194,48.0,2007.0,75.6
2024,Alpha Phi,Troop 1872: Sweet as Can Phi,Participated,We're All in this Together,High School Musical,We're All In This Together,High School Musical Cast,dance,0.76,0.941,0.805,116.013,0.0451,-6.356,64.0,2006.0,95.0
2024,Alpha Phi,Troop 1872: Sweet as Can Phi,Participated,Best Song Ever,One Direction,Best Song Ever,One Direction,pop,0.652,0.877,0.486,118.491,0.0227,-2.986,75.0,2013.0,100.0
2024,Alpha Phi,Troop 1872: Sweet as Can Phi,Participated,Never Say Never,Justin Bieber,Never Say Never,Justin Bieber,pop,0.739,0.807,0.632,97.048,0.0181,-5.063,70.0,2011.0,100.0
2024,Alpha Phi,Troop 1872: Sweet as Can Phi,Participated,We Are Never Getting Back Together,Taylor Swift,We Are Never Ever Getting Back Together,Taylor Swift,pop,0.628,0.676,0.75,85.984,0.00957,-5.911,74.0,2012.0,95.1
2024,Alpha Tau Omega,Nothing Set In Stone,Pigskin,Higher Ground,Stevie Wonder,Higher Ground,Stevie Wonder,funk,0.714,0.794,0.835,125.375,0.104,-11.719,28.0,2002.0,100.0
2024,Alpha Tau Omega,Nothing Set In Stone,Pigskin,Made from the Stars,Aloe Blacc,Made From The Stars,Aloe Blacc,soul,0.64,0.819,0.713,129.158,0.0765,-3.664,41.0,2021.0,100.0
2024,Alpha Tau Omega,Nothing Set In Stone,Pigskin,Fly As Me,Silk Sonic (Bruno Mars),Silk Sonic Intro,Bruno Mars,dance,0.696,0.553,0.674,114.993,0.097,-8.702,55.0,2021.0,68.8
2024,Alpha Tau Omega,Nothing Set In Stone,Pigskin,"Hold On, I'm Coming",Sam and Davis,Hold On I'm Coming,Sam & Dave,funk,0.815,0.537,0.895,107.081,0.117,-6.18,23.0,2007.0,84.8
2024,Alpha Tau Omega,Nothing Set In Stone,Pigskin,War,Edwin Starr,War,Edwin Starr,soul,0.571,0.752,0.721,109.015,0.0535,-9.245,34.0,2001.0,100.0
2024,Alpha Tau Omega,Nothing Set In Stone,Pigskin,Get Down Tonight,KC and the Sunshine Band,Get Down Tonight,KC & The Sunshine Band,disco,0.664,0.853,0.873,113.016,0.0721,-8.164,16.0,2018.0,92.9
2024,Beta Theta Pi,Fratty-Shack,Participated,Bet On It,High School Musical,All For One,High School Musical Cast,dance,0.657,0.985,0.776,150.038,0.119,-3.22,52.0,2007.0,75.4
2024,Beta Theta Pi,Fratty-Shack,Participated,I Don't Dance,High School Musical,High School Dance,Gregory Isaacs,dub,0.736,0.418,0.766,180.505,0.397,-12.16,0.0,2000.0,72.5
2024,Beta Theta Pi,Fratty-Shack,Participated,Don't You Want Me,Human League,Don't You Want a Man,The Slackers,ska,0.466,0.603,0.88,178.898,0.0743,-6.391,9.0,2008.0,77.6
2024,Beta Theta Pi,Fratty-Shack,Participated,Should I Stay or Should I Go,The Clash,Should I Stay or Should I Go - Remastered,The Clash,punk,0.742,0.838,0.848,113.373,0.0832,-6.442,61.0,2013.0,86.0
2024,Beta Theta Pi,Fratty-Shack,Participated,Can't Touch This,MC Hammer,U Can't Touch This,MC Hammer,hip-hop,0.871,0.696,0.799,133.35,0.0042,-7.153,35.0,2003.0,96.6
2024,Beta Theta Pi,Fratty-Shack,Participated,Believer,Imagine Dragons,Believer,Imagine Dragons,rock,0.776,0.78,0.666,124.949,0.0622,-4.374,86.0,2017.0,100.0
2024,Chi Omega,Caught Red-Handed,2nd,House of the Rising Sun,The Animals,House Of The Rising Sun,The Animals,blues,0.464,0.464,0.118,119.471,0.029,-9.779,31.0,2013.0,100.0
2024,Chi Omega,Caught Red-Handed,2nd,Rockin Robin,Jackson 5,Rockin' Robin,Michael Jackson,soul,0.625,0.767,0.964,173.048,0.24,-6.786,14.0,2000.0,80.0
2024,Chi Omega,Caught Red-Handed,2nd,Born to be Wild,Steppenwolf,Born To Be Wild,Steppenwolf,blues,0.45,0.833,0.552,145.826,0.292,-8.934,40.0,2018.0,100.0
2024,Chi Omega,Caught Red-Handed,2nd,Would I Lie to You,The Eurythmics,Would You Notice,The Tories,power-pop,0.555,0.863,0.435,104.985,0.000367,-5.068,2.0,2001.0,71.9
2024,Chi Omega,Caught Red-Handed,2nd,Hit the Road Jack,Ray Charles,Hit the Road Jack,Ray Charles,blues,0.598,0.571,0.962,173.141,0.704,-12.616,70.0,2021.0,100.0
2024,Chi Omega,Caught Red-Handed,2nd,Zero to Hero,Hercules Cast,Zero to the Third,Matt Pless,acoustic,0.471,0.847,0.635,174.798,0.00633,-5.456,2.0,2005.0,69.0
2024,Delta Delta Delta,Weather or Not!,Pigskin,Reach Out I'll Be there,Gloria Gaynor,Reach Out I'll Be There,Gloria Gaynor,disco,0.667,0.558,0.295,123.586,0.0151,-7.429,12.0,2000.0,100.0
2024,Delta Delta Delta,Weather or Not!,Pigskin,Blown Away,Carrie Underwood,Blown Away,Carrie Underwood,country,0.531,0.843,0.392,136.991,0.0909,-2.569,63.0,2012.0,100.0
2024,Delta Delta Delta,Weather or Not!,Pigskin,Barbie Girl,Aqua,Oh Baby Girl,Achu,pop-film,0.719,0.887,0.834,156.918,0.183,-5.262,53.0,2012.0,70.3
2024,Delta Delta Delta,Weather or Not!,Pigskin,I Got the Music in Me,Kiki Dee,Don't let the music die,INNA,house,0.744,0.816,0.787,130.013,0.0528,-6.252,25.0,2010.0,71.0
2024,Delta Delta Delta,Weather or Not!,Pigskin,No More Tears,Barbra Streisand & Donna Summer,No More Tears (Enough Is Enough) (feat. Donna Summer),Barbra Streisand,rock,0.634,0.644,0.286,135.24,0.51,-8.234,45.0,2002.0,77.3
2024,Delta Tau Delta,,Participated,Whip It,Devo,Whip It,DEVO,punk,0.767,0.888,0.943,157.669,0.0639,-6.195,0.0,2023.0,100.0
2024,Delta Tau Delta,,Participated,Sexy Back,Justin Timberlake,Supplies,Justin Timberlake,dance,0.793,0.554,0.225,119.993,0.00695,-6.624,45.0,2018.0,77.2
2024,Delta Tau Delta,,Participated,I'm Gonna Be,Proclaimers,I'm Gonna Get,Viers,club,0.778,0.958,0.518,132.996,0.000125,-8.758,19.0,2019.0,76.6
2024,Delta Tau Delta,,Participated,Push It To The Limit,Paul Engemann,Push it to the Limit,Necro,hardcore,0.461,0.911,0.792,92.132,0.378,-3.153,39.0,2004.0,71.9
2024,Delta Tau Delta,,Participated,Radioactive,Imagine Dragons,Radioactive,Imagine Dragons,rock,0.448,0.784,0.236,136.245,0.106,-3.686,71.0,2012.0,100.0
2024,Delta Tau Delta,,Participated,Hearts On Fire,John Cafferty,Hearts On Fire,Albert One,disco,0.724,0.783,0.679,125.015,5.32e-05,-6.6,19.0,2013.0,84.2
2024,Kappa Alpha Order,,Participated,When The Saints Go Marching In,Louis Armstrong,When the Saints Go Marching In,Dr. John,blues,0.474,0.465,0.427,98.781,0.569,-8.833,12.0,2004.0,80.9
2024,Kappa Alpha Order,,Participated,Bourbon Street,Jeff Tuohy,Bourbon street medley,Traditional,sleep,0.292,0.448,0.249,93.604,0.924,-11.7,0.0,2005.0,67.7
2024,Kappa Alpha Order,,Participated,Voodoo Child,Jimi Hendrix,Voodoo Child (Slight Return),Jimi Hendrix,blues,0.375,0.91,0.424,87.455,0.494,-6.597,26.0,2001.0,77.1
2024,Kappa Alpha Order,,Participated,Heads Will Roll,Yeah Yeah Yeahs,Heads Will Roll,Yeah Yeah Yeahs,alt-rock,0.562,0.903,0.791,132.013,0.000187,-4.46,0.0,2023.0,100.0
2024,Kappa Alpha Order,,Participated,Fight For Your Right,Beastie Boys,Fight for Your Right,Deez Nuts,hardcore,0.47,0.935,0.589,142.816,0.000109,-4.403,30.0,2008.0,74.6
2024,Kappa Alpha Order,,Participated,Stay Stay Stay,Taylor Swift,Stay Stay Stay,Taylor Swift,pop,0.729,0.748,0.928,99.981,0.307,-6.67,46.0,2012.0,100.0
2024,Kappa Alpha Order,,Participated,Ballroom Blitz,Sweet,Ballroom Blitz,Sweet,blues,0.626,0.879,0.878,108.434,0.0228,-6.6,57.0,2017.0,100.0
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,West End Blues,Louis Armstrong,West End Blues,Louis Armstrong & His Hot Five,jazz,0.602,0.206,0.41,83.693,0.986,-12.063,26.0,2004.0,81.0
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,"Theme from New York, New York",Frank Sinatra,"Theme from New York, New York",The Ten Tenors,opera,0.515,0.276,0.605,109.78,0.467,-10.558,12.0,2014.0,76.9
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,Please Don't Stop the Music,Rihanna,Don't Stop The Music,Rihanna,pop,0.835,0.669,0.542,122.668,0.0336,-5.582,69.0,2007.0,89.6
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,Evacuate the Dance Floor,Casandra,Evacuate the Dancefloor,Cascada,dance,0.76,0.696,0.903,127.029,0.0195,-5.811,46.0,2012.0,79.4
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,Pump It,Black Eyed Peas,Pump It,Black Eyed Peas,dance,0.649,0.931,0.744,153.645,0.0093,-3.15,68.0,2005.0,100.0
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,All of the Lights,Kanye West,All Of The Lights,Coone,hardstyle,0.575,0.971,0.327,150.061,0.0888,-3.199,55.0,2023.0,80.0
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,Dance the Night,Dua Lipa,Dance Last Night,The Gants,garage,0.68,0.648,0.962,132.086,0.122,-9.304,2.0,2000.0,81.5
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,"Sing, Sing, Sing",Benny Goodman,"Sing, Sing, Sing",Benny Goodman,jazz,0.62,0.67,0.295,113.492,0.853,-11.575,50.0,2007.0,100.0
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,Uptown Girl,Billy Joel,Uptown Girl,Billy Joel,folk,0.65,0.241,0.615,84.34,0.16,-14.067,24.0,2014.0,100.0
2024,Kappa Chi Alpha & Beta Upsilon Chi,,Participated,Friends On The Other Side,Princess and The Frog Cast,On The Other Side Of The Tracks,Faith Prince,show-tunes,0.501,0.386,0.515,52.692,0.78,-11.304,0.0,2000.0,70.0
