year,group_dir,palette_hex,palette_proportions,n_images,image_source,avg_hue,avg_saturation,avg_brightness
1995,1995_Phi_Gamma_Delta,#1E223C;#3A2520;#4A2E2A;#5F3630;#2C2D58;#6D4F47;#916B61;#7075B6;#4E5280;#C9A09C,0.2517;0.1983;0.1597;0.1469;0.0849;0.0801;0.0337;0.0191;0.0176;0.0080,6,youtube,0.9272,0.4540,0.3168
1995,1995_Phi_Kappa_Chi,#202640;#3E2A28;#5E3F39;#3D354A;#55486A;#785C54;#6F5D87;#2B3D76;#9D7F72;#CAAD9B,0.2541;0.1906;0.1161;0.1118;0.0765;0.0759;0.0698;0.0445;0.0445;0.0161,7,youtube,0.8257,0.3854,0.3506
1996,1996_Kappa_Alpha_Theta,#3C2E17;#4D3618;#67441C;#4C4129;#675537;#7F6A4A;#855F2A;#9D886F;#B77E3A;#E0BA8E,0.3801;0.1985;0.1082;0.0951;0.0821;0.0538;0.0477;0.0145;0.0115;0.0086,6,youtube,0.1003,0.6022,0.3309
1996,1996_Phi_Gamma_Delta,#3A270E;#4B2C0B;#583915;#6D3B09;#6C4920;#8A5010;#A8681E;#836034;#BD823D;#E3AF6D,0.2634;0.1870;0.1597;0.1023;0.0903;0.0813;0.0464;0.0369;0.0239;0.0087,4,youtube,0.0896,0.7914,0.3710
1997,1997_Kappa_Omega_Tau,#372522;#472825;#534237;#54302B;#3A3532;#615245;#474A56;#6C635F;#917D6E;#FAE2AA,0.2366;0.1726;0.1428;0.1341;0.1221;0.0804;0.0506;0.0473;0.0105;0.0030,3,youtube,0.0346,0.3447,0.2941
1997,1997_Zeta_Tau_Alpha,#212A3E;#28365A;#40322A;#314774;#3D5A8F;#4D6EAA;#547ECF;#8AAEF2;#7492CE;#6B5650,0.2333;0.1375;0.1306;0.1167;0.1029;0.0916;0.0662;0.0533;0.0435;0.0246,3,youtube,0.6248,0.4943,0.4595
1998,1998_Kappa_Omega_Tau,#1D1B3F;#46150B;#403561;#642D27;#84504C;#A67371;#D39894;#655997;#F1C2C7;#9A8BD0,0.1593;0.1486;0.1246;0.1147;0.1093;0.1060;0.0754;0.0672;0.0509;0.0439,8,youtube,0.9041,0.4976,0.4842
1999,1999_Zeta_Tau_Alpha,#1D1B41;#352434;#3F2F47;#2A2867;#523F58;#68526F;#816B8C;#9A86AE;#38408C;#B9A7D6,0.2053;0.1771;0.1575;0.1106;0.1104;0.0716;0.0573;0.0449;0.0365;0.0289,6,youtube,0.7525,0.3998,0.3533
2000,2000_Kappa_Omega_Tau,#453932;#412419;#142341;#675145;#683724;#8F5C35;#896D65;#3F496B;#BD8547;#B79A90,0.1728;0.1537;0.1507;0.1274;0.1207;0.0792;0.0619;0.0507;0.0484;0.0345,7,youtube,0.0365,0.4920,0.3846
2000,2000_Zeta_Tau_Alpha,#6B5546;#392C27;#534038;#80635D;#601D1B;#9D7A78;#BA9896;#95262C;#E6C7B9;#BCB1DB,0.1819;0.1800;0.1474;0.1239;0.1022;0.0975;0.0608;0.0536;0.0317;0.0209,7,youtube,0.0322,0.3600,0.4474
2002,2002_Chi_Omega,#3B3529;#272D3D;#59453B;#404556;#765A53;#5C6173;#451834;#7B8395;#9B6D7E;#B4A4BF,0.1839;0.1655;0.1505;0.1127;0.1069;0.0746;0.0572;0.0556;0.0535;0.0395,7,youtube,0.8775,0.3105,0.3659
2002,2002_Delta_Delta_Delta,#273B3B;#514235;#3F2F1C;#695B47;#83715A;#6D5125;#A38E75;#2D6D5F;#50A398;#D2C3A3,0.2090;0.1978;0.1915;0.1289;0.0883;0.0832;0.0388;0.0334;0.0155;0.0136,7,youtube,0.1333,0.4115,0.3527
2002,2002_Kappa_Alpha_Theta,#6E5033;#402814;#96785D;#5A3D21;#7F644A;#AD8D77;#3B343C;#CDAA94;#F0D2BA;#595073,0.1539;0.1403;0.1389;0.1350;0.1306;0.0918;0.0887;0.0496;0.0378;0.0335,7,youtube,0.0565,0.4447,0.4697
2002,2002_Kappa_Kappa_Gamma,#372F3F;#3F2224;#4A405E;#573F42;#69586D;#431010;#21193C;#89768A;#8A2D2D;#B9AAB9,0.2057;0.1726;0.1135;0.1096;0.1061;0.1018;0.1004;0.0580;0.0179;0.0144,7,youtube,0.8465,0.3763,0.3199
2002,2002_Kappa_Omega_Tau,#42281E;#624234;#7F5C4E;#9E736E;#F1B0BF;#CC918F;#2F3144;#54566F;#B58140;#8384A4,0.1683;0.1569;0.1563;0.1258;0.0901;0.0895;0.0852;0.0520;0.0440;0.0318,5,youtube,0.0054,0.3889,0.5135
2002,2002_Kappa_Sigma,#0F223D;#172C50;#450C02;#483F4D;#6E5667;#382C33;#917489;#203B76;#2F57A7;#BEB2C8,0.1751;0.1425;0.1394;0.1316;0.1040;0.1025;0.0752;0.0668;0.0446;0.0184,4,youtube,0.7594,0.5353,0.3487
2002,2002_Pi_Beta_Phi,#44322F;#624D43;#826554;#401D10;#A27E6B;#C29985;#11453E;#743523;#E7C3B7;#3D7683,0.1833;0.1531;0.1360;0.1230;0.1207;0.0868;0.0725;0.0639;0.0307;0.0300,8,youtube,0.0533,0.4353,0.4426
2003,2003_Kappa_Kappa_Gamma_and_Kappa_Sigma,#41241F;#5C322A;#734D3F;#8E6552;#500907;#AD8474;#083658;#D6B09C;#245D8E;#A8B4DA,0.2102;0.1764;0.1526;0.1153;0.1108;0.0882;0.0527;0.0466;0.0246;0.0226,7,youtube,0.0272,0.5378,0.4352
2003,2003_Kappa_Omega_Tau,#352F2D;#4A3D35;#625147;#43221C;#836756;#723529;#A6846E;#363A5F;#CDA286;#F4CFB5,0.2285;0.1992;0.1239;0.1115;0.0925;0.0670;0.0657;0.0449;0.0421;0.0247,5,youtube,0.0469,0.3273,0.3767
2004,2004_Phi_Kappa_Chi,#45291F;#202249;#856349;#52485E;#8D1C11;#7777AB;#AC8D7A;#1728A0;#C0B9CD;#E8230D,0.2391;0.1530;0.1158;0.1127;0.0858;0.0762;0.0658;0.0551;0.0497;0.0468,8,youtube,0.9045,0.5102,0.4704
2005,2005_Alpha_Tau_Omega_and_Kappa_Chi_Alpha,#3B3022;#21353E;#484B39;#64634B;#205E6D;#797B70;#5E150F;#9A9D9D;#A91713;#B8CAD9,0.1855;0.1761;0.1491;0.1256;0.0850;0.0806;0.0728;0.0450;0.0427;0.0377,7,youtube,0.2108,0.4010,0.3689
2005,2005_Delta_Delta_Delta,#3D2118;#4C3F2D;#292B48;#775C3C;#662A1D;#A5815E;#A93529;#DCB898;#448676;#D6C72B,0.2999;0.1441;0.1399;0.1098;0.1062;0.0719;0.0367;0.0366;0.0301;0.0248,8,youtube,0.0490,0.5360,0.3870
2005,2005_Kappa_Alpha_Theta,#393421;#1A2740;#61460A;#735645;#621C1C;#33555D;#AAE8FC;#54759C;#B48B79;#81B4EE,0.2154;0.1617;0.1324;0.1078;0.0914;0.0778;0.0696;0.0515;0.0474;0.0449,8,youtube,0.1144,0.5316,0.4269
2006,2006_Kappa_Kappa_Gamma,#392F2C;#663C26;#7D5D4E;#AD8613;#E9C128;#3C4069;#5A6EA6;#A98269;#90BCD7;#DEBD96,0.1925;0.1579;0.1301;0.1156;0.1045;0.0980;0.0697;0.0678;0.0397;0.0241,8,youtube,0.0553,0.5019,0.5291
2006,2006_Kappa_Omega_Tau,#2B2C77;#222844;#44311F;#BC3604;#8A2F06;#2638AB;#6A5C4A;#178572;#21C797;#C0B395,0.1672;0.1635;0.1464;0.1179;0.1069;0.1020;0.0658;0.0575;0.0539;0.0190,7,youtube,0.8051,0.6817,0.4875
2006,2006_Sing_Alliance,#7D7EF7;#3B372D;#595F47;#323B71;#5F76A0;#9E3C25;#A77059;#E87F7B;#F8B7BE;#A5C2DC,0.1600;0.1528;0.1465;0.1220;0.0963;0.0744;0.0715;0.0706;0.0613;0.0446,6,youtube,0.9616,0.4102,0.6147
2007,2007_Delta_Delta_Delta,#422318;#214D34;#3B7C60;#772218;#6F543A;#56B89E;#80B268;#C2372C;#B58362;#B8E28D,0.2737;0.1691;0.1400;0.1049;0.0864;0.0532;0.0459;0.0448;0.0444;0.0377,7,youtube,0.1757,0.5857,0.4459
2007,2007_Kappa_Kappa_Gamma,#3F2E1D;#6D4E1F;#7C654E;#52473A;#97771B;#702315;#AB8B6F;#AF3220;#E6C396;#D7B82C,0.2299;0.1541;0.1367;0.1075;0.0957;0.0791;0.0751;0.0474;0.0409;0.0336,7,youtube,0.0850,0.5654,0.4633
2007,2007_Kappa_Sigma,#2E383F;#4B2D2F;#424E59;#604E3F;#305983;#9C6A6C;#58798F;#AA3F24;#BCB6BA;#E6A82D,0.2661;0.1875;0.1507;0.1151;0.0773;0.0742;0.0468;0.0335;0.0275;0.0213,8,youtube,0.7115,0.3605,0.3900
2007,2007_Sing_Alliance,#423122;#554834;#252E3E;#705E4A;#8B7762;#A7927C;#95B8C1;#759396;#436B57;#CFB69C,0.2075;0.1543;0.1534;0.1375;0.1208;0.0835;0.0399;0.0398;0.0365;0.0266,8,youtube,0.1013,0.3643,0.4140
2008,2008_Kappa_Kappa_Gamma_and_Kappa_Sigma,#432127;#F3DFAF;#5B4044;#E2C78F;#232B46;#14358B;#856F69;#BC9044;#4B7999;#DEDD43,0.2203;0.2130;0.1213;0.1025;0.1020;0.0646;0.0591;0.0520;0.0448;0.0202,8,youtube,0.0232,0.4340,0.5719
