year,group_dir,palette_hex,palette_proportions,n_images,image_source,avg_hue,avg_saturation,avg_brightness
2015,2015_Kappa_Kappa_Gamma,#3D2357;#3D1C29;#1F4D34;#543F7E;#5E4244;#976A6D;#2AA06E;#A04CA6;#5B7BCB;#D7B5A8,0.1786;0.1665;0.1446;0.1408;0.1316;0.0658;0.0501;0.0481;0.0396;0.0342,8,youtube,0.8248,0.5048,0.4247
2015,2015_Kappa_Omega_Tau,#4F292B;#744F5B;#A7858D;#E8BCB5;#EF7071;#6093E6;#29285C;#4150B8;#C4333F;#7BE0FA,0.1887;0.1450;0.1334;0.1295;0.0796;0.0771;0.0736;0.0650;0.0643;0.0438,8,youtube,0.9316,0.4333,0.6395
2015,2015_Kappa_Sigma,#3E3134;#534950;#191E4F;#41160F;#6B210F;#786465;#21398C;#904A2B;#A08786;#D1B4AD,0.2175;0.1372;0.1258;0.1175;0.0835;0.0820;0.0811;0.0627;0.0594;0.0332,8,youtube,0.9394,0.4454,0.3845
2015,2015_Phi_Kappa_Chi,#482219;#6F4238;#947162;#AB4C43;#D58A80;#213949;#3B5B7D;#ECC5B1;#6A7EB3;#B8AFE7,0.2118;0.1895;0.1093;0.1075;0.0999;0.0743;0.0686;0.0547;0.0521;0.0323,7,youtube,0.0058,0.4940,0.5326
2015,2015_Pi_Beta_Phi,#4B3331;#5F4C4D;#42191A;#816769;#8E3749;#B28583;#E2AEB6;#CF546F;#21223F;#838FB4,0.2110;0.1609;0.1392;0.1330;0.0820;0.0805;0.0525;0.0510;0.0468;0.0430,8,youtube,0.9794,0.3665,0.4570
2016,2016_Alpha_Chi_Omega,#3C3234;#9A6165;#54191B;#6D4C49;#514D73;#E37583;#A2878E;#982531;#E23252;#E6BAB5,0.1773;0.1341;0.1271;0.1255;0.0889;0.0843;0.0830;0.0769;0.0528;0.0501,8,youtube,0.9694,0.4040,0.5239
2016,2016_Alpha_Delta_Pi,#4D1A22;#282854;#DD085F;#344384;#762D78;#AC0835;#B66A60;#7B483C;#C48DA3;#F4D69F,0.1522;0.1372;0.1207;0.1140;0.1084;0.1052;0.1031;0.0922;0.0350;0.0320,8,youtube,0.9017,0.6430,0.5523
2016,2016_Alpha_Tau_Omega,#4A241D;#977765;#79482C;#545B5A;#C8A18A;#163654;#E4D1BA;#D04B21;#E6994F;#7EB5AC,0.1686;0.1339;0.1301;0.1280;0.1037;0.0979;0.0753;0.0627;0.0593;0.0405,5,bing,0.0775,0.4618,0.5499
2016,2016_Baylor_Chamber_of_Commerce,#083824;#8B7857;#543D31;#BCA285;#E6CFB9;#0E0C41;#447924;#4D3189;#A776D2;#EEC246,0.3539;0.1253;0.1024;0.1022;0.0933;0.0920;0.0467;0.0450;0.0224;0.0168,5,bing,0.2514,0.5994,0.4432
2016,2016_Beta_Theta_Pi,#472016;#322759;#986D56;#6A4539;#C8966D;#E0BCAB;#97261A;#D74082;#7A69CF;#17825E,0.2144;0.1667;0.1373;0.1331;0.1199;0.0671;0.0549;0.0421;0.0385;0.0260,5,bing,0.0012,0.5486,0.5205
2016,2016_Chi_Omega,#46211C;#E6BD6C;#B78B4E;#FBEFA6;#7A5738;#E2274F;#A83B71;#871334;#D271A6;#1B426B,0.1842;0.1396;0.1369;0.1133;0.1038;0.0951;0.0681;0.0681;0.0560;0.0349,8,youtube,0.0400,0.5910,0.6619
2016,2016_Delta_Delta_Delta,#891916;#4A171F;#BD3810;#743541;#BA1943;#985F69;#CF7D33;#B695A7;#BA22A3;#3A609F,0.1685;0.1670;0.1348;0.1291;0.1037;0.0950;0.0658;0.0636;0.0388;0.0337,7,youtube,0.9796,0.6897,0.5780
2016,2016_Delta_Tau_Delta,#CCA694;#A68D7D;#916C59;#412D29;#E4C7B6;#B1C2E3;#6A4D41;#CC8462;#7E9CC7;#40658E,0.1418;0.1250;0.1226;0.1214;0.1167;0.0988;0.0983;0.0833;0.0579;0.0340,5,bing,0.0376,0.3286,0.6595
2016,2016_Kappa_Alpha_Theta_and_Sigma_Chi,#76525B;#533D49;#40252F;#8D6C73;#AE848C;#D698A3;#7B303E;#F4C4CB;#BA5268;#C0CFAA,0.1518;0.1402;0.1373;0.1252;0.1129;0.0915;0.0831;0.0706;0.0615;0.0260,7,youtube,0.9584,0.3280,0.5469
2016,2016_Kappa_Chi_Alpha_and_Beta_Upsilon_Chi,#991E2F;#3A2932;#544256;#745D78;#92799B;#C89096;#B1646D;#943D4A;#E4BDC6;#B49CC0,0.5226;0.0735;0.0652;0.0613;0.0573;0.0536;0.0466;0.0431;0.0393;0.0374,2,bing,0.9362,0.5575,0.5787
2016,2016_Kappa_Kappa_Gamma_and_Kappa_Sigma,#5E3C40;#3B2E2F;#7B5158;#946B6D;#AD8686;#C9A2A3;#45102D;#97448E;#712661;#E9C5C2,0.1526;0.1339;0.1294;0.1199;0.1189;0.0834;0.0722;0.0678;0.0671;0.0545,8,youtube,0.9667,0.3516,0.5050
2016,2016_Kappa_Omega_Tau,#3A2B35;#42200D;#553B52;#7B0408;#6D4C28;#7A5871;#AB7E58;#A9879B;#D0031F;#E1BAAF,0.2383;0.1952;0.1139;0.1018;0.0929;0.0801;0.0526;0.0464;0.0455;0.0333,7,youtube,0.9652,0.5199,0.4023
2016,2016_Phi_Gamma_Delta,#4F2B27;#8E2133;#805751;#4E3188;#1E114F;#D02552;#DB7887;#9953D4;#E6B1CF;#5526DE,0.2079;0.1470;0.1180;0.1162;0.1060;0.0938;0.0580;0.0556;0.0497;0.0479,8,youtube,0.9120,0.6072,0.5593
2016,2016_Phi_Kappa_Chi,#3E222C;#1C2044;#543B3A;#3C3355;#2A3D7C;#6D5656;#9B7170;#772956;#695BB3;#D0B7AB,0.2102;0.1648;0.1291;0.1282;0.1132;0.0930;0.0585;0.0510;0.0368;0.0152,8,youtube,0.8438,0.4480,0.3727
2016,2016_Pi_Beta_Phi,#452D2D;#71494C;#8E726C;#B6998D;#222D46;#434F6F;#DAC9C3;#CF3F80;#F469D3;#6A7FDA,0.1780;0.1779;0.1574;0.1208;0.0949;0.0690;0.0687;0.0570;0.0399;0.0364,8,youtube,0.9691,0.3543,0.5313
2016,2016_Pi_Kappa_Phi,#493122;#460A0A;#7B5233;#AC7B4B;#8B161D;#EF9357;#F3E5C1;#D73C4B;#E3B986;#6694B1,0.1772;0.1759;0.1299;0.1081;0.0916;0.0807;0.0729;0.0714;0.0671;0.0252,8,youtube,0.0487,0.6155,0.5671
2016,2016_Sing_Alliance,#694B50;#482C33;#9E7071;#732834;#C89994;#5E647F;#29315F;#F0C7B9;#85939F;#BF2147,0.1883;0.1819;0.1183;0.1144;0.0944;0.0824;0.0738;0.0704;0.0397;0.0364,8,youtube,0.9482,0.3743,0.5146
2016,2016_Zeta_Tau_Alpha,#704759;#4A202A;#1B255A;#3A47A0;#9E727B;#D91F2C;#8F1C25;#6E9CF2;#DEABA5;#F05F52,0.1478;0.1433;0.1324;0.1136;0.1126;0.0878;0.0724;0.0675;0.0630;0.0597,8,youtube,0.8939,0.5576,0.5846
2017,2017_Alpha_Chi_Omega_and_Pi_Kappa_Phi,#482B22;#B88E78;#845E48;#484454;#ABA3E1;#756E86;#E2C3AA;#5855C4;#961519;#EE9F22,0.2058;0.1400;0.1134;0.1103;0.0952;0.0948;0.0943;0.0838;0.0428;0.0195,4,bing,0.9441,0.3974,0.5794
2017,2017_Alpha_Delta_Pi,#813521;#4D211C;#946D5C;#6B4741;#D3AB92;#A34D34;#B0897D;#EFD5AF;#D97345;#6F627C,0.1286;0.1253;0.1246;0.1158;0.1141;0.1090;0.1069;0.0773;0.0659;0.0326,8,youtube,0.0384,0.4808,0.6060
2017,2017_Beta_Theta_Pi,#312957;#A68571;#805C4F;#D7B27F;#514329;#DED4BF;#E2752D;#7663D6;#3D886C;#71CDB3,0.2584;0.1332;0.1305;0.1221;0.1038;0.0702;0.0625;0.0471;0.0384;0.0337,3,bing,0.0128,0.4519,0.5800
2017,2017_Chi_Omega,#705050;#907271;#492C2F;#3E7EAA;#C4A596;#294566;#7E97B5;#EEE1C2;#CC5777;#8DD6E4,0.1926;0.1461;0.1308;0.0989;0.0926;0.0828;0.0804;0.0802;0.0598;0.0360,7,youtube,0.9708,0.3597,0.5866
2017,2017_Delta_Delta_Delta,#472F28;#795A44;#9A8376;#D7A186;#CE7943;#F6CDB5;#9ECCE2;#285677;#B92718;#4994BD,0.1535;0.1495;0.1460;0.1294;0.0941;0.0830;0.0693;0.0602;0.0588;0.0562,5,bing,0.0525,0.4473,0.6409
2017,2017_Delta_Tau_Delta,#834D35;#5A281E;#574CA0;#B467F2;#726EE8;#B26A5D;#C6B184;#331E55;#9456BA;#DBAFEC,0.1920;0.1214;0.1187;0.1123;0.1065;0.0784;0.0778;0.0691;0.0657;0.0578,8,youtube,0.8754,0.5366,0.6592
2017,2017_Kappa_Alpha_Theta,#3F1326;#3F3239;#604344;#661A29;#12386F;#845858;#AD7479;#962636;#605E8A;#C2A5B4,0.1768;0.1694;0.1653;0.1089;0.1058;0.0955;0.0579;0.0541;0.0360;0.0301,8,youtube,0.9324,0.4855,0.4004
2017,2017_Kappa_Chi_Alpha,#492302;#6E5237;#997468;#C99487;#2B3A36;#ECCABA;#E09C32;#CB382E;#3D767A;#7CD2AB,0.4016;0.1222;0.1216;0.1019;0.0838;0.0451;0.0348;0.0343;0.0310;0.0238,3,bing,0.0821,0.6340,0.4740
2017,2017_Kappa_Kappa_Gamma,#997970;#69485F;#C2A88F;#48243E;#E4D1C9;#4B8584;#7C43A4;#B01653;#C864BB;#76B1B0,0.1541;0.1531;0.1267;0.1011;0.0942;0.0878;0.0780;0.0735;0.0698;0.0618,8,youtube,0.9387,0.3886,0.6090
2017,2017_Kappa_Omega_Tau,#453B2B;#685F44;#153450;#9D8C66;#CDCBA7;#A177E3;#627891;#0D66A0;#0A95E3;#13F4FB,0.2325;0.1642;0.1240;0.1074;0.0722;0.0676;0.0642;0.0627;0.0604;0.0449,8,youtube,0.1741,0.4967,0.5269
2017,2017_Kappa_Sigma,#382B31;#544244;#73545C;#94707A;#46549E;#B79994;#273569;#5F85EF;#157FDE;#E2B0CE,0.1837;0.1817;0.1449;0.0963;0.0942;0.0900;0.0762;0.0574;0.0428;0.0328,8,youtube,0.8991,0.3423,0.4959
2017,2017_Phi_Gamma_Delta,#452721;#987660;#704F36;#4C5E5E;#C49B7F;#8F1C14;#E6D2B2;#D5501D;#EB9842;#70C2A3,0.1871;0.1609;0.1401;0.1283;0.1155;0.0635;0.0588;0.0586;0.0559;0.0313,4,bing,0.0722,0.4666,0.5571
2017,2017_Phi_Kappa_Chi,#4A0E13;#5C3338;#1B274F;#875C5E;#A51A2A;#EC3C44;#577DB3;#0F4897;#CE9E90;#7822C9,0.2055;0.1865;0.1155;0.1081;0.0914;0.0887;0.0761;0.0475;0.0430;0.0377,8,youtube,0.9323,0.6295,0.5072
2017,2017_Pi_Beta_Phi,#432F25;#613546;#645232;#7C694D;#3B223C;#3F140E;#9D7F7B;#3E2E71;#69598C;#B8A2AF,0.1959;0.1617;0.1251;0.1223;0.1213;0.1035;0.0534;0.0485;0.0389;0.0295,7,youtube,0.9921,0.4610,0.3726
2017,2017_Sigma_Chi,#5B4044;#441C22;#775F68;#332644;#4F297B;#71192F;#A68387;#9B4052;#7D47C3;#E0B9BB,0.1916;0.1516;0.1396;0.1346;0.0979;0.0756;0.0719;0.0570;0.0500;0.0301,8,youtube,0.9104,0.4434,0.4368
2017,2017_Sing_Alliance,#765E50;#998966;#CEA68C;#462F38;#374F7A;#ECE1B6;#3385E4;#D03E51;#8077AC;#F5E26E,0.1681;0.1669;0.1152;0.1089;0.1032;0.0929;0.0709;0.0695;0.0632;0.0411,7,youtube,0.0345,0.4063,0.6385
2017,2017_Zeta_Tau_Alpha,#5F3F50;#2B4B8A;#3E273C;#814782;#876060;#A75CA7;#630F1E;#A97B7D;#DB9A9E;#CD80E7,0.1555;0.1310;0.1302;0.1127;0.1083;0.0932;0.0826;0.0749;0.0627;0.0488,8,youtube,0.8788,0.4460,0.5161
2018,2018_Alpha_Chi_Omega,#40383A;#1E2F44;#5F504E;#1F4E6F;#886B66;#520417;#B0918C;#4A6B83;#DDC2B4;#AA092F,0.1737;0.1657;0.1509;0.1059;0.0983;0.0958;0.0714;0.0687;0.0443;0.0252,8,youtube,0.9238,0.4100,0.4131
2018,2018_Alpha_Delta_Pi,#513E32;#3E2A23;#674A48;#7E6667;#B3756A;#924D42;#1C2243;#D19F8C;#454763;#EDD2AC,0.2409;0.2061;0.1615;0.0897;0.0653;0.0581;0.0526;0.0523;0.0404;0.0331,8,youtube,0.0263,0.3753,0.4185
2018,2018_Alpha_Tau_Omega,#5D797C;#644E41;#7C6459;#997F71;#475F63;#42322D;#38474D;#B9A08D;#DBC9B5;#8AA3AB,0.1655;0.1567;0.1432;0.1082;0.1044;0.0981;0.0814;0.0694;0.0426;0.0306,7,youtube,0.1061,0.2776,0.4744
2018,2018_Beta_Theta_Pi,#31265A;#4E2D20;#8F4A30;#CEA281;#BD764F;#85A4C2;#725ED6;#737C6C;#DFC0B8;#175644,0.3390;0.0989;0.0948;0.0931;0.0842;0.0659;0.0640;0.0611;0.0593;0.0398,2,bing,0.8666,0.5049,0.5395
2018,2018_Chi_Omega,#604748;#3E1D3A;#836166;#57136F;#AE8594;#6616A9;#444F7E;#E5AEC7;#C53971;#A235DB,0.1645;0.1504;0.1435;0.1390;0.0952;0.0905;0.0794;0.0520;0.0430;0.0423,8,youtube,0.8768,0.4883,0.5133
2018,2018_Delta_Delta_Delta,#442D28;#AAC1E0;#D7A486;#9B877B;#765D4B;#F1CBB3;#C97842;#5795C5;#A62C17;#245B80,0.1344;0.1276;0.1234;0.1229;0.1164;0.0950;0.0880;0.0699;0.0672;0.0553,5,bing,0.0408,0.4206,0.6651
2018,2018_Delta_Tau_Delta,#785141;#C89C89;#482D2A;#EEC6A2;#927C6D;#CB7F52;#AFC0E1;#7798BE;#364F75;#D92530,0.1503;0.1351;0.1272;0.1134;0.1128;0.0943;0.0864;0.0628;0.0603;0.0574,5,bing,0.0297,0.4082,0.6576
2018,2018_Kappa_Alpha_Theta,#3D292F;#58436B;#8A6680;#C49186;#E03AAA;#502BCA;#D0454F;#DEBDC5;#9B2830;#A80CE6,0.2219;0.1235;0.1233;0.0950;0.0811;0.0803;0.0769;0.0736;0.0713;0.0530,8,youtube,0.9024,0.4699,0.5975
2018,2018_Kappa_Chi_Alpha,#21214B;#42417F;#CC9F95;#7264AC;#906662;#4C302E;#F7E8AF;#7181E9;#99C8EC;#D03159,0.1787;0.1393;0.1163;0.1134;0.0992;0.0984;0.0934;0.0717;0.0709;0.0189,8,youtube,0.7888,0.4209,0.6137
2018,2018_Kappa_Kappa_Gamma,#45192D;#5F3442;#35363F;#7F5957;#AD2C4D;#7D1A2F;#AD887D;#D9546A;#486A77;#E8B3B2,0.1899;0.1822;0.1211;0.1112;0.1036;0.0896;0.0675;0.0566;0.0479;0.0304,8,youtube,0.9345,0.4855,0.4628
2018,2018_Kappa_Omega_Tau,#4D4033;#432814;#12024B;#79511A;#696961;#A28347;#170580;#DBB583;#D04227;#1C17D9,0.1809;0.1796;0.1298;0.1189;0.1006;0.0945;0.0842;0.0496;0.0334;0.0283,7,youtube,0.0542,0.6209,0.4342
2018,2018_Phi_Gamma_Delta,#452020;#5D3C34;#493153;#78555D;#261948;#3C44AD;#AE757D;#91234A;#7D43A3;#DFADB0,0.1927;0.1689;0.1230;0.1228;0.1056;0.0883;0.0683;0.0499;0.0487;0.0319,8,youtube,0.9099,0.4866,0.4353
2018,2018_Pi_Beta_Phi_and_Phi_Kappa_Chi,#412327;#774345;#8C3B7B;#403656;#B6857F;#B43ACC;#6C7881;#949ED7;#E7BFB2;#D7573A,0.1573;0.1448;0.1335;0.1290;0.0904;0.0876;0.0750;0.0675;0.0597;0.0552,8,youtube,0.8939,0.4384,0.5545
2018,2018_Pi_Kappa_Phi,#482631;#231640;#746353;#5C4342;#907D68;#3F1017;#AF9D85;#372E5B;#D4BFA3;#598AA0,0.1695;0.1454;0.1345;0.1263;0.1181;0.1047;0.0750;0.0670;0.0314;0.0282,7,youtube,0.9756,0.4312,0.4028
2018,2018_Sigma_Chi,#5B3B4E;#46273B;#8E538E;#723E6D;#806469;#A862A9;#A53479;#1D173E;#B39188;#E2A7C8,0.1941;0.1538;0.1300;0.1236;0.1005;0.0811;0.0753;0.0749;0.0409;0.0258,8,youtube,0.8771,0.4181,0.4618
2018,2018_Sing_Alliance,#4B1F33;#27155E;#6E5849;#B06C7A;#831C5F;#E9BBA9;#CC1599;#4777B1;#5C15C4;#7ED98C,0.1743;0.1662;0.1409;0.1162;0.1133;0.0716;0.0712;0.0625;0.0496;0.0341,8,youtube,0.8973,0.5923,0.5447
2018,2018_Zeta_Tau_Alpha,#540B0D;#950B25;#8D584E;#543D36;#1C2348;#B4947B;#344076;#7D80A8;#D64A84;#E8D4BC,0.1756;0.1487;0.1352;0.1116;0.1113;0.0771;0.0687;0.0639;0.0579;0.0501,8,youtube,0.9624,0.5851,0.5101
2019,2019_Alpha_Chi_Omega,#422D3B;#593767;#1A1844;#6D625C;#845893;#AE76CA;#1E2E74;#DBABDB;#AC8A81;#4F3BA8,0.1654;0.1283;0.1180;0.1116;0.1021;0.0867;0.0843;0.0781;0.0724;0.0532,8,youtube,0.8156,0.4154,0.4906
2019,2019_Alpha_Delta_Pi,#3D2F2B;#5E4B45;#74635C;#927D6C;#B09785;#CEB6A2;#F4EAB8;#7B8497;#96B8D7;#EFCD7D,0.2261;0.1619;0.1402;0.1239;0.1049;0.0659;0.0574;0.0536;0.0425;0.0236,8,youtube,0.0549,0.2589,0.5187
2019,2019_Beta_Theta_Pi,#30275A;#F0DFBB;#7163DC;#8F7445;#6D4E28;#CBB790;#A38D6B;#6D3385;#321B33;#C3A4DF,0.4569;0.0890;0.0864;0.0778;0.0751;0.0567;0.0520;0.0378;0.0347;0.0336,2,bing,0.7954,0.4967,0.5297
2019,2019_Beta_Upsilon_Chi,#DBBFA3;#2D3638;#495C5E;#855E45;#A89E8C;#A97859;#707F7B;#5E4232;#D4986A;#A7CEE1,0.1389;0.1197;0.1129;0.1040;0.1026;0.1015;0.0977;0.0909;0.0755;0.0564,1,bing,0.1590,0.3058,0.5709
2019,2019_Chi_Omega,#5E523A;#836C4C;#627687;#3D312C;#44455F;#B68963;#E5B777;#5B6DDE;#343DA1;#8D97B1,0.1730;0.1368;0.1302;0.1281;0.1098;0.0909;0.0717;0.0705;0.0533;0.0355,8,youtube,0.0236,0.3871,0.5236
2019,2019_Delta_Delta_Delta_and_Alpha_Tau_Omega,#151442;#242762;#3139A3;#3A3630;#4740EA;#0A0ACE;#675D6D;#B09171;#8381CB;#D6C0C0,0.1887;0.1576;0.1201;0.0946;0.0884;0.0808;0.0780;0.0713;0.0704;0.0501,8,youtube,0.7080,0.5404,0.5347
2019,2019_Delta_Tau_Delta,#E5C9B7;#CEA79C;#B2937B;#927660;#BEC4E3;#6F5344;#3D2D3B;#808FB8;#3E5789;#D82247,0.1772;0.1519;0.1498;0.1248;0.1105;0.0937;0.0760;0.0440;0.0418;0.0304,5,bing,0.0139,0.2976,0.6951
2019,2019_Kappa_Alpha_Theta,#3E292D;#172653;#5F4C4B;#915C71;#6A9D6E;#424474;#BC869A;#9BCA8D;#D6CEC7;#5247D2,0.2461;0.1354;0.1274;0.1001;0.0912;0.0786;0.0777;0.0615;0.0571;0.0250,8,youtube,0.9433,0.3695,0.4747
2019,2019_Kappa_Chi_Alpha,#150A41;#7C58A3;#512B5D;#806461;#8D51E3;#8A1975;#B9879A;#581EBE;#BB3888;#D7AEDD,0.1403;0.1303;0.1153;0.1083;0.1018;0.0895;0.0833;0.0833;0.0811;0.0667,7,youtube,0.8096,0.5693,0.5944
2019,2019_Kappa_Kappa_Gamma,#2E42E7;#393EB5;#260C8B;#6365CE;#8204C2;#341743;#2006D3;#80577D;#C495B2;#C82056,0.1838;0.1583;0.1126;0.0987;0.0984;0.0845;0.0826;0.0764;0.0586;0.0461,7,youtube,0.7226,0.7191,0.7049
2019,2019_Kappa_Omega_Tau,#4B2329;#5A4944;#314423;#962E48;#7C6365;#191447;#B3737A;#D4A7A8;#402E76;#612FCF,0.1701;0.1652;0.1304;0.1080;0.1012;0.0997;0.0878;0.0571;0.0546;0.0259,8,youtube,0.9806,0.4581,0.4390
2019,2019_Kappa_Sigma,#131551;#323B3C;#5F5A66;#2A2D82;#A18086;#440B27;#CEB6CA;#8275B6;#3257E6;#782352,0.2003;0.1847;0.1323;0.0999;0.0809;0.0740;0.0632;0.0601;0.0570;0.0477,8,youtube,0.7042,0.4531,0.4495
2019,2019_Phi_Gamma_Delta,#7D674D;#333334;#A18268;#634A33;#434B5F;#BFA68B;#ECD0B5;#6A798A;#DCAC0A;#ACBAD7,0.1737;0.1584;0.1455;0.1334;0.1181;0.1077;0.0675;0.0478;0.0282;0.0198,5,bing,0.0358,0.3078,0.5151
2019,2019_Phi_Kappa_Chi,#4F2E49;#121278;#86645F;#4C5186;#C59364;#A1403E;#7B8FB0;#1F3FC5;#0202DF;#D9BAAC,0.1479;0.1318;0.1140;0.1124;0.1036;0.0993;0.0864;0.0850;0.0793;0.0402,8,youtube,0.8018,0.5523,0.5985
2019,2019_Pi_Kappa_Phi,#412A20;#3D0B0D;#5A3F31;#6B1712;#775A4C;#A37662;#8B4831;#C39F8B;#E7CCB6;#B6281C,0.2244;0.2182;0.1586;0.0825;0.0758;0.0651;0.0520;0.0488;0.0428;0.0317,1,bing,0.0359,0.5707,0.4040
2019,2019_Sigma_Chi,#4A2232;#58375C;#8B444F;#674B8D;#22199A;#280DE2;#1A1358;#8262D4;#9B798E;#CAB2D1,0.1624;0.1586;0.1209;0.1106;0.1032;0.0961;0.0849;0.0627;0.0626;0.0382,7,youtube,0.8026,0.5617,0.5296
2019,2019_Sing_Alliance,#66167D;#3E1743;#8F537A;#C15ED1;#971AC8;#D67595;#C01871;#E8B5D7;#6A6AC6;#490AD0,0.1409;0.1319;0.1143;0.0997;0.0946;0.0925;0.0881;0.0833;0.0774;0.0773,7,youtube,0.8267,0.6347,0.6666
2019,2019_Zeta_Tau_Alpha,#51241A;#724A45;#956C66;#5D0D51;#220D53;#BE998B;#301D9E;#E8C9BB;#8027AC;#8B6FD7,0.1767;0.1590;0.1332;0.1041;0.0994;0.0945;0.0815;0.0778;0.0406;0.0332,8,youtube,0.9508,0.5526,0.5225
2020,2020_Alpha_Chi_Omega,#3E2E1F;#564737;#746857;#9B8873;#C2A88B;#EDD7B0;#232F40;#346951;#44BC7F;#4533A5,0.1937;0.1649;0.1564;0.1315;0.1172;0.0757;0.0537;0.0529;0.0304;0.0236,8,youtube,0.1014,0.3688,0.4862
2020,2020_Alpha_Delta_Pi,#291343;#50354D;#431F1B;#71477B;#5427A8;#9053D0;#C15187;#DDA8CC;#A79280;#B51B38,0.1973;0.1892;0.1526;0.1022;0.0876;0.0662;0.0618;0.0482;0.0475;0.0474,8,youtube,0.8491,0.5454,0.4656
2020,2020_Alpha_Tau_Omega,#604E3E;#8A6742;#482B25;#97796D;#873433;#C54B4E;#4B5774;#CC8E8C;#2E384F;#EFC3B8,0.1605;0.1437;0.1376;0.1071;0.0951;0.0939;0.0930;0.0672;0.0595;0.0424,7,youtube,0.0260,0.4344,0.5176
2020,2020_Beta_Upsilon_Chi,#43251D;#69422E;#C79D7A;#9E7354;#E8D0B2;#6B6883;#454257;#730B0E;#AC1E21;#EFA022,0.2213;0.1255;0.1131;0.0977;0.0910;0.0845;0.0774;0.0724;0.0657;0.0515,1,bing,0.0249,0.5067,0.5364
2020,2020_Chi_Omega,#954465;#BA7979;#604A44;#B85021;#221947;#5B2712;#3E1883;#DAA5B2;#3682B2;#961CB8,0.1669;0.1346;0.1322;0.1182;0.1043;0.0969;0.0772;0.0722;0.0633;0.0342,8,youtube,0.9428,0.5723,0.5646
2020,2020_Delta_Delta_Delta,#49231C;#5F4C44;#A9C2E1;#B49382;#91715C;#DDBDAC;#17233F;#597B92;#9F191C;#E7992E,0.1543;0.1397;0.1377;0.1362;0.1330;0.0811;0.0787;0.0783;0.0452;0.0159,5,bing,0.0170,0.4049,0.5665
2020,2020_Delta_Tau_Delta,#37282C;#4D3B47;#A3233B;#643CC1;#975A6F;#46248B;#D64D44;#A96EC2;#A8097F;#E0AB87,0.2623;0.1840;0.1083;0.0950;0.0928;0.0682;0.0607;0.0480;0.0460;0.0348,8,youtube,0.9055,0.4726,0.4936
2020,2020_Kappa_Alpha_Theta,#6863B2;#413126;#76554F;#372DA2;#AB7F8E;#2C2553;#C28C4F;#E2C2B1;#9F92D0;#9927C4,0.1619;0.1373;0.1346;0.1250;0.1125;0.0809;0.0737;0.0690;0.0581;0.0469,8,youtube,0.8745,0.4510,0.5922
2020,2020_Kappa_Chi_Alpha,#B87B76;#3F2530;#8E5650;#E1AFAC;#4A117E;#8F45A1;#4D0AD7;#9B0F6B;#B712E5;#37C6CB,0.2263;0.1541;0.1535;0.1014;0.0899;0.0845;0.0788;0.0765;0.0248;0.0103,7,youtube,0.9258,0.5363,0.6174
2020,2020_Kappa_Kappa_Gamma_and_Kappa_Sigma,#241E55;#624C6C;#3F42A0;#4A2336;#7873C5;#AC7A81;#103CEB;#D9B7C8;#05069D;#A5354C,0.2237;0.1361;0.1313;0.1143;0.0855;0.0704;0.0695;0.0584;0.0580;0.0527,8,youtube,0.7556,0.5469,0.5449
2020,2020_Kappa_Omega_Tau,#44263B;#745661;#12094D;#A5897C;#0E088A;#5759B0;#3D3A78;#9169D2;#0E0CCA;#DAB5BE,0.1564;0.1423;0.1321;0.1115;0.1045;0.0884;0.0854;0.0764;0.0527;0.0503,8,youtube,0.7958,0.5338,0.5239
2020,2020_Multicultural_Alliance,#4E1E18;#F62E46;#824C2A;#A7181D;#D8933C;#1F2B3C;#E2C098;#65617F;#A88167;#28C49D,0.2114;0.1523;0.1482;0.0863;0.0777;0.0773;0.0746;0.0733;0.0725;0.0265,5,bing,0.0161,0.6287,0.5983
2020,2020_Phi_Gamma_Delta,#311132;#21057B;#3C12D4;#7834CC;#BB53B5;#D76C4E;#6A3E69;#B91F37;#E8B29B;#B497E7,0.1449;0.1380;0.1295;0.1149;0.1145;0.1130;0.0758;0.0671;0.0548;0.0476,8,youtube,0.8187,0.6897,0.6469
2020,2020_Phi_Kappa_Chi,#403036;#9C736E;#745744;#412B6F;#5E4797;#CEAD95;#4A170E;#A5422E;#C38240;#9987BE,0.1969;0.1562;0.1304;0.1182;0.0917;0.0705;0.0689;0.0687;0.0496;0.0489,8,youtube,0.9567,0.4426,0.5058
2020,2020_Pi_Beta_Phi,#9F676A;#7E239C;#734B4F;#D38B71;#54241F;#A83A29;#3C165D;#C13EBE;#EEBEB4;#62B6B4,0.1504;0.1411;0.1277;0.1142;0.1083;0.0998;0.0907;0.0875;0.0640;0.0163,7,youtube,0.9461,0.5554,0.6043
2020,2020_Sigma_Alpha_Epsilon_and_Alpha_Phi,#5D4437;#735A4B;#422C24;#8B6F60;#AB8A79;#CE9F97;#EFCFBA;#221257;#452FA5;#C7546A,0.2254;0.1801;0.1717;0.1362;0.1065;0.0658;0.0328;0.0309;0.0273;0.0234,7,youtube,0.0435,0.3884,0.4839
2020,2020_Sing_Alliance,#39183F;#AC0A59;#1D55D6;#7D64C3;#B8847D;#5F11BC;#B40AB7;#BB4C8C;#6D446F;#D998D5,0.1524;0.1237;0.1127;0.1089;0.1083;0.0906;0.0868;0.0842;0.0715;0.0609,7,youtube,0.8207,0.6564,0.6509
