Year,Group,Theme,Placement,Songs,YouTube_Link
2007,Sing Alliance,,Pigskin,,https://www.youtube.com/watch?v=ZFF34Jf5VqU
2008,Kappa Kappa Gamma & Kappa Sigma,On the Town,1st,,https://www.youtube.com/watch?v=Tyh3V-auTlE
2008,Kappa Omega Tau,From the Bayou to the Big Easy,2nd,,https://www.youtube.com/watch?v=efLbh3-FqCE
2009,Alpha Tau Omega,Heroes and Villains,Participated,,https://www.youtube.com/watch?v=kjvpQNJ3Jwc
2009,Kappa Omega Tau,Steppin' to the Badside,2nd,,https://www.youtube.com/watch?v=-cCqwTaJ6XM
2009,Sing Alliance,A Latte Love,3rd,,https://www.youtube.com/watch?v=4vN6miQoTyw
2010,Kappa Omega Tau,The Toys are Back in Town,1st,,https://www.youtube.com/watch?v=DKcy-IAlzwI
2010,Sing Alliance,A News Sensation,3rd,,https://www.youtube.com/watch?v=Zi_0YvkzHjo
2011,Alpha Tau Omega,,Pigskin,,https://www.youtube.com/watch?v=jCbSMChIIEk
2011,Chi Omega & Phi Kappa Chi,,Pigskin,,https://www.youtube.com/watch?v=Htfq0ZVOffg
2011,Delta Delta Delta,,3rd,,https://www.youtube.com/watch?v=QXgfMW2DlPI
2011,Kappa Alpha Theta,,Pigskin,,https://www.youtube.com/watch?v=6JRo6OQ6SKQ
2011,Kappa Kappa Gamma,Who's Afraid of the Big Bad Wolf?,Pigskin,Mercy (Duffy); Be OK (Ingrid Michaelson),https://www.youtube.com/watch?v=EvweDorN2VU
2011,Kappa Omega Tau,The Show Must Go On,2nd,,https://www.youtube.com/watch?v=vwWi3n5K6gA
2011,Kappa Sigma,Playin' Around at the Playground,Pigskin,Come Play Away,https://www.youtube.com/watch?v=-w7g0Cq9-Hw
2011,Pi Beta Phi,"Welcome to Your 80's, Ladies",1st,,https://www.youtube.com/watch?v=wxDYlo1UP4I
2012,Alpha Chi Omega,Juke Box Heroes,Pigskin,Livin' On a Prayer,https://www.youtube.com/watch?v=xMp5-TV8rUM
2012,Chi Omega,,Pigskin,,https://www.youtube.com/watch?v=ilNK35mtYXE
2012,Delta Delta Delta & Alpha Tau Omega,,3rd,,https://www.youtube.com/watch?v=3Qm4ojJEW6Q
