Year,Group,Theme,Placement,Songs,YouTube_Link
2016,Alpha Delta Pi,Keep on Survivin',Participated,,
2016,Phi Gamma Delta,The Dance of the Dead,Participated,Thriller (Michael Jackson),
2017,Kappa Omega Tau,Bein' Green,1st,,
2017,Phi Kappa Chi,Fool's Gold,2nd,,
2017,Chi Omega,Ice Ice Baby,3rd,,
2017,Alpha Chi Omega & Pi Kappa Phi,,Pigskin,,
2017,Delta Delta Delta,,Pigskin,,
2017,Kappa Alpha Theta,,Pigskin,,
2017,Kappa Kappa Gamma,,Pigskin,,
2017,Pi Beta Phi,,Pigskin,,
2018,Pi Beta Phi & Phi Kappa Chi,The Tortoise and the Hare,1st,,
2018,Kappa Kappa Gamma,Workin' at the Carwash,2nd,,https://www.youtube.com/watch?v=kWKEzFr_7pI
2018,Delta Delta Delta,Back to Our Roots,3rd,,
2018,Chi Omega,Shiny Teeth and Me,Pigskin,,
2018,Kappa Omega Tau,Sweet Dreams,Pigskin,,
2018,Alpha Tau Omega,Life Ain't Half Dad,Pigskin,,
2018,Sing Alliance,Sweatin' With Sing Alliance,Pigskin,,
2018,Kappa Alpha Theta,Alley Cats,Pigskin,,
2018,Alpha Delta Pi,When Life Gives You Lemons,Participated,,
2018,Alpha Chi Omega,Sky Full of Stars,Participated,,
2018,Pi Kappa Phi,Greasers,Participated,,
2018,Beta Theta Pi,Beta Our Guest,Participated,,
2018,Phi Gamma Delta,Foos'n Around,Participated,,
2018,Delta Tau Delta,Wizard School,Participated,,
2018,Sigma Chi,Texas Revolution,Participated,,
2018,Zeta Tau Alpha,Desktop Daydream,Participated,,
2018,Kappa Chi Alpha,Singing in the Rain,Participated,,
2019,Kappa Omega Tau,The Night Before Christmas,1st,Look Down (Les Misérables),
2019,Chi Omega,Can't Stop the Bees,2nd,Honey Honey (ABBA),
2019,Kappa Chi Alpha,Home Sweet Home,3rd,,
2019,Alpha Tau Omega,,Pigskin,,
2019,Delta Delta Delta & Alpha Tau Omega,Rockin' New Year's Eve,Pigskin,,https://www.youtube.com/watch?v=Xj7-gb_-rDA
2019,Kappa Kappa Gamma,Kappa Air,Pigskin,,https://www.youtube.com/watch?v=lVMlZFR7wiU
2019,Kappa Sigma,Finding Bigfoot,Pigskin,Kill the Beast,
2019,Phi Kappa Chi,The New Kid on the Block,Pigskin,,
